epoch,accuracy,loss,val_accuracy,val_loss
0,0.8671249747276306,0.8142204880714417,0.9660000205039978,0.12820486724376678
1,0.9523958563804626,0.16643783450126648,0.9734166860580444,0.0918525904417038
2,0.9663125276565552,0.11348360031843185,0.9764999747276306,0.0892142727971077
3,0.9729791879653931,0.08920320868492126,0.9778333306312561,0.08932726085186005
4,0.9789999723434448,0.06751760095357895,0.9760000109672546,0.11700433492660522
5,0.9822291731834412,0.05800884962081909,0.9799166917800903,0.09846953302621841
6,0.984375,0.05226060003042221,0.9790833592414856,0.0929640382528305
7,0.984666645526886,0.04950341954827309,0.9815000295639038,0.0882210060954094
8,0.9876875281333923,0.04107506945729256,0.9805833101272583,0.10570008307695389
9,0.9888749718666077,0.03783111646771431,0.9819166660308838,0.11342649161815643
